index,submit_date,ID,platform,sessionid,blocking,duration,start,subtype,ts,license,parameters.sourceView,parameters.delayDuration,parameters.loadScenesDuration,parameters.updateSceneDuration,parameters.didCompile,parameters.backupScenesDuration,parameters.domainReloadDuration,parameters.noDomainReload,parameters.noSceneReload,parameters.sceneCount,parameters.dirtySceneCount,parameters.scriptDebugInfoEnabled,parameters.autoGenerate,parameters.bakeBackend,parameters.computeRealtime,parameters.computeBaked,parameters.outcome,parameters.indirectResolution,parameters.lightmapResolution,parameters.compressLightmaps,parameters.lightmapSize,parameters.progressive.directSamples,parameters.progressive.indirectSamples,parameters.progressive.bounces,parameters.progressive.prioritizeView,parameters.ambientOcclusion.maxDistance,parameters.progressive.russianRouletteStartBounce,parameters.progressive.minBounces,parameters.fallback,parameters.lightmaps.occupiedTexels,parameters.lightmaps.lightmapCount,parameters.scene.contributingInstanceCount,parameters.scene.meshCount,parameters.scene.totalTriangleCount,parameters.lights.mixedBakeMode,parameters.lights.bakedLightCount,parameters.lights.mixedLightCount,parameters.lights.shadowCastingLightCount,parameters.lights.cookieLightCount,parameters.lights.uniqueCookieCount,parameters.lightProbes.lightProbeGroupCount,parameters.lightProbes.lightProbeCount,parameters.lightProbes.contributingLightProbeLitInstanceCount,parameters.memory.maxTilingModeDuringBake,parameters.lightmapCompression,parameters.enlighten.finalGather.rayCount,parameters.enlighten.finalGather.denoise,used_lighting,bakeBackendflag,hour,sess_duration,sess_duration_h,hour_bin,total_hours,use_category,session_count
962063,2021-10-28 00:00:00.000000000,boxXJYDXkK4QMnA45AU1MwpPS+Ty79s8j8ECVTixO64=,WindowsEditor,6939398143747880960,False,15895028.0,2021-10-28 13:32:15.107946000,computeLighting,2021-10-28 13:32:30.998000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,20.0,False,1024.0,10.0,30.0,3.0,False,,,,,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 02:38:19.879000,2.64,afternoon/evening,39.6,high,1
974715,2021-10-28 00:00:00.000000000,boxXJYDXkK4QMnA45AU1MwpPS+Ty79s8j8ECVTixO64=,WindowsEditor,6939398143747880960,False,19269848.0,2021-10-28 13:40:17.558428200,computeLighting,2021-10-28 13:40:36.822000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,20.0,False,1024.0,10.0,30.0,3.0,False,,,,,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 02:38:19.879000,2.64,afternoon/evening,39.6,high,1
909534,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,19082133.0,2021-10-28 16:36:05.075755500,computeLighting,2021-10-28 16:36:24.157000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,cancelled,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
913489,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,6883209.0,2021-10-28 15:58:08.661874100,computeLighting,2021-10-28 15:58:15.544000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,cancelled,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,15.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
913490,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,37263948.0,2021-10-28 16:07:50.031724800,computeLighting,2021-10-28 16:08:27.295000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
930970,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,52434233.0,2021-10-28 11:14:09.565122300,computeLighting,2021-10-28 11:15:01.999000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,150.0,True,2048.0,64.0,128.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 05:50:12.903000,5.84,day,70.08,very high,1
930971,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,31552247.0,2021-10-28 11:21:15.695757700,computeLighting,2021-10-28 11:21:47.247000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,150.0,True,2048.0,64.0,128.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,11.0,0 days 05:50:12.903000,5.84,day,70.08,very high,1
949437,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,37327605.0,2021-10-28 16:36:35.684235600,computeLighting,2021-10-28 16:37:13.011000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
974880,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,32290100.0,2021-10-28 17:04:42.612836600,computeLighting,2021-10-28 17:05:14.902000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,17.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
982749,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,31576419.0,2021-10-28 16:33:33.225307200,computeLighting,2021-10-28 16:34:04.801000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
